Id,Modelo_1,Modelo_2
1,9.237498,8.613016
2,7.8546824,9.814421
3,16.194334,12.709358
4,15.588198,14.47383
5,6.6795115,9.383814
6,10.226819,10.105915
7,13.0794,12.550415
8,11.362438,12.599081
9,10.168208,11.409886
10,10.424492,12.024282
11,15.603786,13.25185
12,10.533702,10.273995
13,11.497745,12.861781
14,15.050397,11.362313
15,12.665631,13.161431
16,12.337217,10.943145
17,15.444666,12.43914
18,15.995094,13.920956
19,4.031961,8.895844
20,7.314497,6.656438
21,7.8020744,11.301063
22,11.690319,12.497329
23,12.492838,13.129312
24,7.704698,10.778859
25,10.751759,12.769481
26,15.2945,12.161677
27,12.557987,8.975282
28,12.668143,12.04941
29,12.042794,11.063419
30,7.655568,8.521909
31,12.250008,8.768414
32,13.116453,12.534133
33,15.807962,12.516274
34,9.611619,12.388595
35,8.362046,9.129248
36,9.386328,9.63555
37,17.8727,14.645391
38,9.668677,12.039411
39,8.418674,12.183365
40,13.910956,12.695411
41,13.047946,12.502401
42,9.601887,9.070913
43,15.36943,13.491013
44,14.423809,11.72126
45,15.543922,13.667462
46,10.532737,9.306036
47,14.373929,10.392258
48,7.995974,9.3665
49,13.297776,12.394989
50,14.843469,13.489494
51,11.467546,13.452131
52,14.182583,13.350752
53,13.317553,13.31248
54,7.060059,7.201215
55,10.711968,12.171405
56,13.114727,11.207114
57,5.99969,7.596211
58,15.430494,13.835181
59,7.8977537,11.334069
60,6.8306694,8.704079
61,15.1963825,12.422087
62,12.651933,9.8043995
63,11.086771,10.687582
64,12.676712,12.569016
65,8.863962,9.392259
66,10.007299,11.088832
67,17.781181,10.0698185
68,11.208231,14.75487
69,13.623487,12.285426
70,12.465347,13.164094
71,10.567427,12.670754
72,16.333818,13.103616
73,12.68182,12.558668
74,10.078584,10.96539
75,9.716877,10.904954
76,8.559448,11.4134245
77,9.844159,11.670892
78,11.061457,9.963993
79,17.191362,12.867958
80,9.5212965,12.231926
81,9.15136,12.962372
82,1.2936652,5.300249
83,8.340542,8.515791
84,8.28446,8.83462
85,0.10896639,4.3635006
86,9.355136,9.557642
87,15.533163,11.75574
88,11.336056,11.946397
89,11.13325,10.582075
90,17.270065,12.629779
91,14.538101,12.433792
92,9.763648,11.897125
93,15.093218,13.038086
94,9.722651,10.2668085
95,1.335232,8.110398
96,0.3027053,4.563656
97,11.136985,12.209888
98,15.494548,13.768749
99,10.628049,9.132973
100,18.55098,13.9547825
101,7.306846,8.5824795
102,12.708411,12.043027
103,14.605939,11.985633
104,12.529101,12.575292
105,17.64262,11.081018
106,7.775027,9.203538
107,14.314551,12.020896
108,8.706797,9.796267
109,11.2685795,12.582656
110,8.978603,11.139777
111,9.812825,11.024628
112,-0.36198822,2.6912928
113,5.562832,5.0135217
114,9.776794,11.274071
115,9.196064,11.692525
116,12.533759,12.534808
117,13.182503,13.171916
118,10.912183,11.614787
119,17.668753,10.353164
120,15.510404,11.868854
121,8.521027,9.411079
122,10.826877,10.98308
123,9.242716,6.757418
124,10.102159,11.2174015
125,14.826229,14.357535
126,11.384949,9.768931
127,17.71229,11.159037
128,13.075787,12.077223
129,14.205846,11.028096
130,0.6793399,10.317617
131,13.033767,12.29172
132,9.329079,11.97918
133,9.306648,10.585623
134,11.144999,11.975057
135,0.4027172,3.9070668
136,13.177444,13.190754
137,13.185584,11.707219
138,11.062017,12.692591
139,15.59011,13.174757
140,7.6315017,9.142992
141,0.1200718,9.405061
142,11.417921,12.552753
143,13.2412405,11.318394
144,9.547897,9.903498
145,13.298563,13.17638
146,13.1385765,12.169427
147,10.963425,10.4508705
148,10.849478,13.2690525
149,13.222697,12.463174
150,9.87125,12.283279
151,10.491942,9.425451
152,0.17472297,2.7105036
153,15.532464,14.231282
154,15.441253,13.740461
155,6.8194966,10.824898
156,17.174515,12.411652
157,9.601842,12.009387
158,13.229488,11.752631
159,9.589124,10.502394
160,11.205785,10.617219
161,15.693309,13.428808
162,7.122853,9.212832
163,14.0361185,13.078817
164,16.266127,12.131592
165,-0.3150573,9.992796
166,10.707981,12.16763
167,13.277938,12.689379
168,8.202254,11.370118
169,14.840272,12.129696
170,8.600787,10.594232
171,12.59744,11.805037
172,14.902744,11.569112
173,17.155949,14.5231695
174,17.388653,13.283862
175,16.042,10.766899
176,9.865488,9.58284
177,4.0150223,10.742465
178,14.159921,11.716305
179,9.098844,12.713772
180,11.252505,13.158203
181,0.6018778,9.788993
182,14.584979,11.1987295
183,11.624928,11.692978
184,10.341526,11.046102
185,10.859704,11.778318
186,12.935676,12.713219
187,12.735857,12.838825
188,11.572412,11.25983
189,7.720324,12.116084
190,12.462262,11.7539425
191,14.238239,14.348455
192,15.378339,13.052624
193,10.150991,12.225811
194,11.025626,12.247391
195,11.3193445,11.02241
196,7.8088923,9.15814
197,9.838376,11.114356
198,9.528832,9.907276
199,10.762709,13.256278
200,6.454488,5.403997
201,6.177227,9.902891
202,12.640846,13.3342905
